台灣彩券(必中投注店)	新北市板橋區三民路二段245巷51號
台灣彩券(賣出頭貳獎彩券商行)	新北市五股區工商路108號
台灣彩券(喜超公益彩券行)	台中市太平區長億路26號
台灣彩券(福爺設計社)	彰化縣花壇鄉彰員路三段123號
台灣彩券(億發之家彩券行)	新北市新莊區公園路23號
台灣彩券(千億彩券行)	台中市神岡區中山路1325號
宏嶺彩券行	台中市南屯區嶺東路868號
台灣彩券(勤開彩投注站)	台北市北投區致遠一路二段63號
台灣彩券(大光明彩券行)	高雄市鳳山區文衡路369之1號
台灣彩券(祥宏刻印配鎖社)	新北市中和區漢民路416號
台灣彩券(鑫富發彩券行)	彰化縣彰化市埔西街48號
台灣彩券(大川商行)	台北市信義區虎林街132巷44號
台灣彩券(億興電腦彩券行)	台南市仁德區長興路63號
台灣彩券(正神投注站)	屏東縣內埔鄉北寧路61號
台灣彩券(鴻鑫彩券行)	彰化縣彰化市忠孝街46號
台灣彩券(祥旺彩券行)	高雄市三民區明仁路25號
運動彩券(金如億商行)	宜蘭縣宜蘭市中山路二段386號
台灣彩券(元通盛彩券行)	台中市新社區興安路18之49號
台灣彩券(吉祥商行)	桃園市中壢區龍岡路三段118號
台灣彩券(財盈商行)	高雄市鹽埕區興華街30號
台灣彩券(億萬彩投注站)	南投縣南投市民生街58號
台灣彩券(兩全彩券行)	高雄市鳳山區中正路78號
台灣彩券(豪獎彩券行)	屏東縣潮州鎮興隆路201號
台灣彩券(彩連發樂透投注站)	苗栗縣銅鑼鄉中正路211號
台灣彩券(金旺商行)	台北市大同區重慶北路三段268號
台灣彩券(致富彩券行)	桃園市楊梅市瑞溪路二段166號
台灣彩券(利達投注站)	新竹縣湖口鄉勝利路一段105之2號
台灣彩券(成晁商行)	新北市板橋區長江路一段122號
運動彩券(運隆行)	新北市樹林區太順街42號
台灣彩券(時時發商店)	新北市新店區民權路85號
台灣彩券(聯合文具行)	台北市士林區大南路92號
運動彩券(勝投王彩券行)	台北市中山區四平街26號
台灣彩券(財旺商行)	高雄市鳳山區鳳頂路406號
台灣彩券(有盈之湧泉投注站)	桃園市新屋區中華路187號
台灣彩券(俊偉商行)	台北市中正區汀州路二段1號
台灣彩券(好彩利彩券行)	台北市萬華區西昌街152之1號
